2452125.49137 17.780 0.038 5.58 1659.0
2452129.57769 17.766 0.024 4.25 863.0
2452132.52241 17.844 0.022 4.17 671.0
2452135.64917 17.828 0.020 4.14 699.0
2452140.61788 17.838 0.027 5.42 695.0
2452143.72353 17.831 0.029 5.48 717.0
2452158.54976 17.796 0.020 4.33 629.0
2452167.50518 17.814 0.026 5.68 646.0
2452172.52082 17.732 0.029 5.74 761.0
2452175.53269 17.811 0.038 4.88 1953.0
2452185.54910 17.818 0.028 5.08 982.0
2452329.88272 17.829 0.022 3.52 868.0
2452346.87522 17.803 0.021 3.90 723.0
2452352.82952 17.762 0.032 6.25 762.0
2452361.82383 17.782 0.026 4.58 887.0
2452371.88457 17.731 0.021 4.64 663.0
2452381.90311 17.812 0.021 3.90 637.0
2452385.91296 17.784 0.021 3.94 776.0
2452389.92391 17.819 0.024 4.14 803.0
2452391.81751 17.820 0.039 6.32 1151.0
2452397.87007 17.817 0.023 3.68 867.0
2452401.73009 17.792 0.021 4.09 666.0
2452403.78884 17.862 0.020 3.57 641.0
2452405.75056 17.838 0.025 4.95 642.0
2452415.82383 17.850 0.026 4.60 781.0
2452424.70252 17.869 0.026 4.12 1009.0
2452428.66604 17.817 0.028 6.06 641.0
2452432.72947 17.734 0.038 7.65 756.0
2452433.92011 17.791 0.042 6.37 1319.0
2452434.59384 17.818 0.029 4.99 859.0
2452436.64710 17.776 0.022 4.32 738.0
2452438.66275 17.806 0.022 4.52 609.0
2452440.65542 17.817 0.026 5.15 666.0
2452444.78297 17.779 0.023 4.26 750.0
2452446.78859 17.758 0.026 4.53 1013.0
2452453.76195 17.825 0.024 4.51 788.0
2452456.52361 17.842 0.028 5.98 696.0
2452458.63781 17.808 0.023 4.98 524.0
2452462.59194 17.799 0.019 3.99 548.0
2452464.66104 17.762 0.020 4.15 550.0
2452467.56764 17.832 0.021 3.96 618.0
2452469.55489 17.820 0.020 3.82 628.0
2452471.68987 17.795 0.016 3.36 566.0
2452473.54290 17.834 0.028 5.02 769.0
2452483.62353 17.805 0.026 4.53 700.0
2452486.60666 17.800 0.024 5.12 537.0
2452490.57365 17.805 0.025 5.25 561.0
2452493.53183 17.815 0.023 4.23 740.0
2452495.60800 17.811 0.023 4.38 617.0
2452497.66236 17.775 0.022 4.25 677.0
2452499.71031 17.821 0.020 3.96 666.0
2452501.72815 17.820 0.022 4.19 707.0
2452508.54505 17.832 0.027 4.71 888.0
2452511.72601 17.755 0.048 7.73 1184.0
2452518.65125 17.816 0.027 5.37 608.0
2452521.65773 17.799 0.027 5.26 679.0
2452524.49732 17.757 0.023 4.75 696.0
2452529.62091 17.847 0.026 4.48 836.0
2452537.56498 17.749 0.033 6.06 897.0
2452541.53323 17.805 0.022 3.73 923.0
2452546.59887 17.793 0.029 5.45 833.0
2452551.51060 17.780 0.028 5.06 808.0
2452555.60705 17.816 0.034 6.12 806.0
2452562.56077 17.846 0.034 4.98 1426.0
2452573.52825 17.858 0.037 5.09 1443.0
2452704.90146 17.788 0.019 3.86 675.0
2452713.88337 17.818 0.021 4.58 543.0
2452728.82511 17.787 0.027 5.76 660.0
2452733.79791 17.740 0.024 4.52 851.0
2452744.78128 17.804 0.021 3.82 765.0
2452752.84507 17.787 0.025 4.70 822.0
2452756.82446 17.775 0.024 4.90 696.0
2452760.78963 17.878 0.028 5.24 828.0
2452766.81740 17.800 0.019 3.61 633.0
2452770.70372 17.842 0.028 4.89 834.0
2452782.94182 17.895 0.046 6.11 1451.0
2452785.89855 17.842 0.030 4.48 1240.0
2452786.78470 17.810 0.026 4.80 892.0
2452789.81750 17.783 0.023 4.28 744.0
2452790.69514 17.818 0.020 3.84 616.0
2452795.61045 17.812 0.024 5.29 628.0
2452797.59858 17.787 0.020 3.94 754.0
2452802.80568 17.781 0.029 4.85 1000.0
2452808.83247 17.794 0.032 5.27 1071.0
2452810.75407 17.793 0.023 4.40 735.0
2452811.80967 17.833 0.024 4.30 786.0
2452813.60606 17.821 0.027 5.38 676.0
2452815.72676 17.822 0.020 3.83 590.0
2452817.68040 17.786 0.028 5.60 705.0
2452818.74290 17.863 0.023 4.25 626.0
2452820.61135 17.806 0.025 4.41 857.0
2452821.63955 17.819 0.024 4.43 668.0
2452826.60532 17.818 0.025 4.61 714.0
2452835.60300 17.803 0.039 6.17 1175.0
2452837.51843 17.782 0.039 6.54 1008.0
2452839.55188 17.753 0.028 5.41 722.0
2452840.71102 17.805 0.023 4.07 776.0
2452840.72139 17.798 0.027 4.92 843.0
2452843.48834 17.723 0.030 6.10 928.0
2452844.76958 17.778 0.022 4.34 650.0
2452849.68368 17.798 0.024 4.86 660.0
2452851.70474 17.828 0.031 5.65 748.0
2452853.70667 17.787 0.024 4.54 737.0
2452856.59089 17.813 0.026 4.44 852.0
2452858.55700 17.771 0.024 4.25 895.0
2452860.70807 17.797 0.039 3.91 3055.0
2452863.63062 17.754 0.029 4.54 1211.0
2452866.71939 17.776 0.027 5.06 856.0
2452869.61291 17.803 0.023 4.36 608.0
2452872.63414 17.841 0.019 3.59 556.0
