2452106.77737 16.630 0.011 5.65 811.0
2452112.76568 16.624 0.010 4.90 708.0
2452128.58275 16.604 0.009 3.99 945.0
2452131.57614 16.618 0.009 3.85 994.0
2452134.67978 16.635 0.012 6.49 940.0
2452138.55990 16.622 0.012 5.90 853.0
2452143.52890 16.562 0.016 7.89 1031.0
2452158.52784 16.619 0.009 4.41 835.0
2452162.51316 16.615 0.012 5.62 975.0
2452168.54798 16.605 0.013 6.50 959.0
2452173.50600 16.575 0.015 7.10 1068.0
2452180.50461 16.618 0.010 4.44 1176.0
2452184.50932 16.597 0.015 7.38 1135.0
2452194.56439 16.622 0.011 4.83 1040.0
2452321.88195 16.597 0.014 5.48 1393.0
2452326.81506 16.593 0.014 6.22 1358.0
2452345.82461 16.630 0.010 3.59 1071.0
2452350.82868 16.619 0.009 3.61 1105.0
2452358.89339 16.589 0.011 4.83 1048.0
2452370.82158 16.611 0.011 5.22 989.0
2452381.82885 16.616 0.010 4.00 935.0
2452384.80172 16.608 0.010 4.48 1020.0
2452388.85949 16.627 0.010 4.36 990.0
2452391.74551 16.618 0.013 4.99 1582.0
2452396.77699 16.625 0.016 3.74 4436.0
2452400.70495 16.604 0.012 5.37 1061.0
2452402.81921 16.621 0.010 4.03 1041.0
2452404.85184 16.624 0.010 3.87 971.0
2452406.93579 16.584 0.013 5.32 1457.0
2452415.73265 16.598 0.012 5.19 1063.0
2452417.70947 16.600 0.011 5.06 1088.0
2452426.68762 16.590 0.010 4.75 934.0
2452431.81831 16.557 0.009 4.84 971.0
2452433.74547 16.622 0.011 4.73 989.0
2452434.81856 16.619 0.010 3.79 978.0
2452436.59308 16.617 0.011 4.44 1187.0
2452438.62346 16.610 0.011 4.97 984.0
2452440.60492 16.600 0.011 5.02 1007.0
2452442.62219 16.615 0.010 4.24 963.0
2452444.71852 16.598 0.011 4.31 1189.0
2452446.68701 16.600 0.011 4.61 1120.0
2452453.74996 16.599 0.011 4.91 1091.0
2452458.74301 16.598 0.011 5.27 845.0
2452462.73174 16.620 0.009 3.90 820.0
2452463.83239 16.617 0.010 4.35 1067.0
2452466.76229 16.593 0.011 5.12 958.0
2452468.47465 16.594 0.013 6.24 1113.0
2452470.47758 16.598 0.013 6.31 1312.0
2452474.47980 16.620 0.016 5.53 2617.0
2452482.63139 16.618 0.012 5.07 1088.0
2452485.64138 16.632 0.013 6.39 910.0
2452489.71204 16.583 0.009 4.44 948.0
2452492.65740 16.624 0.010 4.00 1037.0
2452494.71107 16.598 0.009 4.89 866.0
2452497.51364 16.598 0.011 4.66 983.0
2452499.54962 16.623 0.010 3.91 999.0
2452501.57721 16.620 0.010 4.08 1061.0
2452511.55755 16.604 0.013 5.77 1185.0
2452517.49443 16.585 0.013 6.15 1143.0
2452520.68356 16.589 0.010 4.33 1045.0
2452526.53779 16.598 0.010 4.52 932.0
2452537.48785 16.605 0.013 5.62 1263.0
2452540.50385 16.623 0.013 5.10 1344.0
2452546.51435 16.599 0.011 4.88 1171.0
2452550.49572 16.555 0.015 6.94 1109.0
2452554.56758 16.581 0.011 5.03 1113.0
2452558.50410 16.592 0.014 5.57 1440.0
2452565.50480 16.602 0.014 5.34 1459.0
2452698.89907 16.607 0.012 5.95 1009.0
2452711.88210 16.617 0.010 5.05 917.0
2452721.90379 16.630 0.017 3.97 4674.0
2452730.90269 16.611 0.010 4.08 1038.0
2452743.77918 16.624 0.010 4.09 1118.0
2452748.79785 16.595 0.011 4.42 1392.0
2452755.78789 16.603 0.010 4.18 964.0
2452759.78293 16.596 0.011 4.59 1092.0
2452765.79604 16.622 0.010 4.25 1125.0
2452769.78069 16.598 0.007 4.04 928.0
2452782.71894 16.605 0.012 5.74 1053.0
2452784.71177 16.618 0.009 3.68 945.0
2452786.59830 16.619 0.015 5.92 1533.0
2452788.69597 16.615 0.010 3.85 1042.0
2452788.73165 16.608 0.009 3.75 1024.0
2452788.81973 16.626 0.010 3.86 1063.0
2452788.93236 16.594 0.009 4.05 1222.0
2452789.61901 16.617 0.010 3.88 1107.0
2452789.73310 16.620 0.009 3.53 981.0
2452790.82455 16.615 0.010 3.86 943.0
2452791.71572 16.625 0.010 3.95 877.0
2452791.93904 16.578 0.010 5.46 648.0
2452792.58554 16.581 0.014 6.98 1074.0
2452792.62317 16.627 0.012 5.49 918.0
2452794.61897 16.615 0.012 5.75 1110.0
2452796.57352 16.599 0.010 4.26 1032.0
2452802.58994 16.607 0.015 6.16 1387.0
2452808.63984 16.630 0.011 4.55 1148.0
2452810.57817 16.618 0.011 4.58 1160.0
2452812.57976 16.635 0.011 4.10 1288.0
2452813.82358 16.625 0.010 3.80 1072.0
2452815.60210 16.602 0.011 4.74 971.0
2452816.66782 16.615 0.010 4.49 902.0
2452817.78225 16.612 0.011 4.81 1113.0
2452818.67744 16.603 0.010 4.07 1033.0
2452819.77137 16.586 0.012 5.47 1097.0
2452821.66942 16.560 0.012 4.83 1155.0
2452826.66026 16.539 0.008 5.17 694.0
2452826.68916 16.635 0.008 4.34 784.0
2452830.79053 16.616 0.017 4.66 3407.0
2452835.48752 16.618 0.014 4.09 2325.0
2452837.50646 16.559 0.014 6.28 1351.0
